VEHICLE TYPE;FUEL TYPE;MODEL;VARIANT DETAILS;LISTED PRICE ($AUD);FAST CHARGE TIME (minutes);ANCAP RATING;RANGE (km);ENERGY CONSUMPTION;;SUBURB
Sports Car;BEV;MG Cyberster;2024 MG Cyberster Auto 4WD MY25;115000;40 mins (10%-80% charge, 150kW charger);Unrated;443;19.1;;Ultimo
Small Car;BEV;MG MG4;2024 MG MG4 Excite 51 125kW Auto MY24;37990;40 mins (10%-80% charge, 50kW charger);5 star, 2022;405;18.4;;Ultimo
Small SUV;BEV;MG ZS BEV;2023 MG ZS EV Excite Auto MY23;;54 mins (recharge to 80%, 50kW charger);Unrated;360;17.7;;Ultimo
Small Car;BEV;MINI Aceman;2024 MINI Aceman E Classic Auto FWD;55990;28 mins (recharge to 80%, 75kW charger);Unrated;300;14.1;;Ultimo
Small SUV;BEV;MINI Countryman BEV;2024 MINI Countryman E Core Auto;64990;29 mins (recharge to 80%, 130 kW charger);Unrated;422;17.2;;Woolloomooloo
Small Car;BEV;MINI Hatch BEV;2024 MINI Cooper E Classic Auto;53990;28 mins (recharge to 80%, 50kW charger);Unrated;271;15;;Woolloomooloo
Small Car;BEV;Nissan Leaf;2024 Nissan LEAF ZE1 Auto MY23;50990;60 mins (20%-80% charge, 50kW charger);5 star, 2018;311;17.1;;Woolloomooloo
Van;BEV;Peugeot Expert BEV;2024 Peugeot E-Expert Pro Long Auto;79990;45 mins (0%-80% charge, 100kW charger);Unrated;;;;Woolloomooloo
Van;BEV;Peugeot Partner BEV;2024 Peugeot e-Partner Pro LWB Auto MY24;59990;30 mins (0%-80% charge, 100kW charger);Unrated;258;21.8;;Woolloomooloo
Medium Car;BEV;Polestar 2;2024 Polestar 2 Standard range Single motor Auto MY24;67400;34 mins (10%-80% charge, 135kW charger);5 star, 2021;625;19.7;;Woolloomooloo
Large SUV;BEV;Polestar 3;2024 Polestar 3 Long Range Single Motor Auto MY25;116754;30mins (10%-80% charge, 250kW charger);Unrated;;;;Woolloomooloo
